Ką Sabonis veikdavo mokykloje?,Stovėdavo prie lentos.
Kodėl nusižudė hitleris?,Nes pamatė kiek už dujas reiks mokėt.
Kodel popiezius nenorejo buti kremuotas?,Nes jis dar gyvas
Kuo panašūs žuvis ir paukštis?,Abu gyvena vandeny, išskyrus paukštį
Kodėl veganai klauso metalo?,Nes geležies trūksta
Ko dažniausiai tėvai klausia vaiko vegetaro?,Ar susiradai porą?
Žinai kodėl lėktuvas skrido į Ispaniją?,Nes nu autobusu jis nevažiuos, lėktuvas juk.
Kiek Chuck Norris padaro atsispaudimų?,Visus
Kokia yra kvailiusia automobilio dalis?,Durelės
Kodėl narkomanas toli nenuvažiavo?,Ne tuos ratus pasiėme
Kaip vadinasi šuo kuris kalba?,Labrakalbris.
Ką sako knyga darbe?,Aš čia poilsį!
Ką sako obuolys piemeniui?,Kuo toliau tuo geriau
Kur keliauja numirę alkoholikai?,Kalnapilin
Koks mylimiausias narkomanų kurortas?,Psichotropikai
Kur Marytė ėjo po sprogimo?, Į visas puses
Kaip vadinama karvė su dviem galvom?,Mūūūūūtantė
Ką patikrina Einikis prieš išeidamas iš namų?,Ar išjungė elektrą ir žmoną
Kodėl septynmetis Džemalas iš Nigerijos toks liūdnas?,Vidurio amžiaus krizė
Kaip vadinasi biblijinių laikų policininkas?,Testamentas
Kaip vadinasi policininkas su gaiviu burnos kvapu?, Mentolis
Kaipvadinasi policininkas susilaužęs koją?,Ramentas
Kaip vadinasi varžytis mėgstantis policininkas?,Turnamentas
Kas bendra tarp audi ir joninių?,Laužas
Kaip suorganizuoti Afrikoje reivą?,Prikalk sumuštinį prie lubų
Koks yra nacionalinis Irako paukštis?,Amerikietiškas dronas
Kodėl Afrika suvartoja mažiausiai alkoholio?,Nes negalima gerti ant tuščio skrandžio.
Kokių dainų labiausiai mėgsta klausytis žuvys?,Tokių kokios užkabina.
Kodėl išminuotojo veide nėra jokios išraiškos?,Nes savo miną jau neutralizavo.
Kodėl žirgo plaukus valgyti nepatartina?,Nes karčiai atsirūgs.

