Why couldn't the bicycle stand up by itself?,Because it was two-tired!
Did you hear about the kidnapping at the playground?,They woke up!
Why don't scientists trust atoms?,Because they make up everything!
What do you call fake spaghetti?,An impasta!
How does a penguin build its house?,Igloos it together!
Why don't eggs tell jokes?,Because they would crack each other up!
What do you call a belt made out of watches?,A waist of time!
Why don't skeletons fight each other?,They don't have the guts!
What did the janitor say when he jumped out of the closet?,Supplies!
What did one plate say to the other plate?,Lunch is on me!
Why did the scarecrow win an award?,Because he was outstanding in his field!
Why did the math book look sad?,Because it had too many problems!
How does a snowman get around?,By riding an icicle!
What's the best thing about Switzerland?,I don't know, but their flag is a big plus!
What do you call cheese that isn't yours?,Nacho cheese!
Why did the tomato turn red?,Because it saw the salad dressing!
What did one wall say to the other wall?,I'll meet you at the corner!
Why did the bike fall over?,Because it was two-tired!
What do you call a pile of cats?,A meowtain!
What's brown and sticky?,A stick!
What do you call a fish wearing a crown?,King Neptune!
Why was the belt arrested?,Because it held up a pair of pants!
Why did the coffee file a police report?,It got mugged!
What's orange and sounds like a parrot?,A carrot!
Why did the fish blush?,Because it saw the ocean's bottom!
Why was the math book sad?,Because it had too many problems!
How does a snowman get around?,By riding an icicle!
What's the best thing about Switzerland?,I don't know, but their flag is a big plus!
What do you call cheese that isn't yours?,Nacho cheese!
Why did the tomato turn red?,Because it saw the salad dressing!
What did one wall say to the other wall?,I'll meet you at the corner!
Why did the bike fall over?,Because it was two-tired!
What do you call a pile of cats?,A meowtain!
What's brown and sticky?,A stick!
What do you call a fish wearing a crown?,King Neptune!
Why was the belt arrested?,Because it held up a pair of pants!
Why did the coffee file a police report?,It got mugged!
What's orange and sounds like a parrot?,A carrot!
Why did the fish blush?,Because it saw the ocean's bottom!
Why did the scarecrow win an award?,Because he was outstanding in his field!
Why did the math book look sad?,Because it had too many problems!
How does a snowman get around?,By riding an icicle!
What's the best thing about Switzerland?,I don't know, but their flag is a big plus!
What do you call cheese that isn't yours?,Nacho cheese!
Why did the tomato turn red?,Because it saw the salad dressing!
What did one wall say to the other wall?,I'll meet you at the corner!
Why did the bike fall over?,Because it was two-tired!
What do you call a pile of cats?,A meowtain!
What's brown and sticky?,A stick!
What do you call a fish wearing a crown?,King Neptune!
Why was the belt arrested?,Because it held up a pair of pants!
Why did the coffee file a police report?,It got mugged!
What's orange and sounds like a parrot?,A carrot!
Why did the fish blush?,Because it saw the ocean's bottom!
Why did the scarecrow win an award?,Because he was outstanding in his field!
Why did the math book look sad?,Because it had too many problems!
How does a snowman get around?,By riding an icicle!
What's the best thing about Switzerland?,I don't know, but their flag is a big plus!
What do you call cheese that isn't yours?,Nacho cheese!
Why did the tomato turn red?,Because it saw the salad dressing!
What did one wall say to the other wall?,I'll meet you at the corner!
Why did the bike fall over?,Because it was two-tired!
What do you call a pile of cats?,A meowtain!
What's brown and sticky?,A stick!
What do you call a fish wearing a crown?,King Neptune!
Why was the belt arrested?,Because it held up a pair of pants!
Why did the coffee file a police report?,It got mugged!
What's orange and sounds like a parrot?,A carrot!
Why did the fish blush?,Because it saw the ocean's bottom!
Why did the scarecrow win an award?,Because he was outstanding in his field!
Why did the math book look sad?,Because it had too many problems!
How does a snowman get around?,By riding an icicle!
What's the best thing about Switzerland?,I don't know, but their flag is a big plus!
What do you call cheese that isn't yours?,Nacho cheese!
Why did the tomato turn red?,Because it saw the salad dressing!
What did one wall say to the other wall?,I'll meet you at the corner!
Why did the bike fall over?,Because it was two-tired!
What do you call a pile of cats?,A meowtain!
What's brown and sticky?,A stick!
What do you call a fish wearing a crown?,King Neptune!
Why was the belt arrested?,Because it held up a pair of pants!
Why did the coffee file a police report?,It got mugged!
What's orange and sounds like a parrot?,A carrot!
Why did the fish blush?,Because it saw the ocean's bottom!
